date,water_area_raw (km2),non_water_area_raw (km2),cloud_area_raw (km2),water_area_cloud_corrected (km2)
2/17/22,136.5653761,50.15644411,199.8416373,215.1894787
2/22/22,84.72315092,28.77383447,273.0664721,209.2116321
2/27/22,223.6475848,161.4667078,1.449164947,223.6913655
3/4/22,222.389681,162.7296073,1.444169239,222.433078
3/9/22,206.9479035,145.1631998,34.4523542,219.539438
3/14/22,218.3034879,166.8446023,1.415367283,218.3242279
3/19/22,-1,-1,386.5634575,-1
3/24/22,-1,-1,386.2490416,-1
3/29/22,174.040774,104.3624178,108.1602658,213.1697643
4/3/22,204.3852291,180.1466072,2.03162117,204.5176554
4/8/22,211.2877861,173.742435,1.533236362,211.4210147
4/13/22,208.2720902,176.7738253,1.517541986,208.3650399
4/18/22,189.9345779,159.4936501,37.13522955,205.7887997
4/23/22,67.76563234,317.392062,1.405763222,67.76832005
4/26/22,143.73652,88.6382339,154.1887037,200.7073776
4/28/22,143.73652,88.6382339,154.1887037,200.7073776
5/1/22,-1,-1,385.5581062,-1
5/3/22,-1,-1,385.5581062,-1
5/11/22,-1,-1,374.1133339,-1
