mosaic_enddate,from_date,to_date,water_area_cordeiro,non_water_area_cordeiro,cloud_area,l8_images,corrected_area_cordeiro
2020-04-02,2020-03-19,2020-04-03,151.6920588503272,173.77028450626153,61.09592652416271,2,178.27444982218998
2020-04-18,2020-04-04,2020-04-19,-1.0,-1.0,386.563457527785,2,-1.0
2020-05-04,2020-04-20,2020-05-05,-1.0,-1.0,386.563457527785,2,-1.0
2020-05-20,2020-05-06,2020-05-21,66.13726860130161,102.33546828860752,217.89031529253904,2,183.45513771378936
2020-06-05,2020-05-22,2020-06-06,152.8381502722371,169.0924958973498,64.61119973832506,2,181.91419010530595
2020-06-21,2020-06-07,2020-06-22,34.85986185662841,114.7825891305987,236.6841845514668,2,172.27081479492188
2020-07-07,2020-06-23,2020-07-08,40.343363056942685,111.90062505439208,234.2806244715028,2,157.5715703328216
2020-07-23,2020-07-09,2020-07-24,63.75678425477413,167.7371074293453,155.04551538003057,2,189.2170435775891
2020-08-08,2020-07-25,2020-08-09,10.091394874633789,30.55525544113095,345.87017506571897,1,214.63270691471712
2020-08-24,2020-08-10,2020-08-25,17.58595370839078,38.84019922348827,330.11712013033,2,201.2419700079932
2020-09-09,2020-08-26,2020-09-10,110.17158225874644,120.6231657017127,154.85122973791974,2,197.3625847836488
2020-09-25,2020-09-11,2020-09-26,154.1775590632159,124.81141463995615,107.38204100079123,2,217.9442215360665
2020-10-27,2020-10-13,2020-10-28,38.137785829989326,59.35229025543978,285.0721984176466,2,209.7783801499167
2020-11-12,2020-10-29,2020-11-13,94.68053592653736,67.01919277730755,224.66337648348588,2,233.8281892818544
2020-11-28,2020-11-14,2020-11-29,100.82599311737636,246.80635018664293,38.854350562725664,2,136.06542364789394
2020-12-14,2020-11-30,2020-12-15,-1.0,-1.0,383.5198843013254,2,-1.0
2020-12-30,2020-12-16,2020-12-31,26.59926507116699,354.89496679974934,5.0597198116536735,2,30.11434056652832
2021-01-15,2021-01-01,2021-01-16,15.87021052984619,247.45327399676384,123.23997300117496,2,137.5962216639404
2021-01-31,2021-01-17,2021-02-01,227.2639810396463,157.44715869448265,1.8523177936558128,2,227.6718965745584
2021-02-16,2021-02-02,2021-02-17,162.9191665000675,193.91930704579696,29.72498398192042,2,190.7526335397404
2021-03-04,2021-02-18,2021-03-05,185.4958447116388,166.64009870475408,34.425785777163384,2,218.53718223599185
2021-03-20,2021-03-06,2021-03-21,160.01600592686313,152.18362097596685,74.35605201265007,2,190.100076886927
2021-04-05,2021-03-22,2021-04-06,164.44968014520907,158.01226627387138,63.990962611573096,2,203.5315263115909
2021-04-21,2021-04-07,2021-04-22,13.318403824401855,39.71028432742992,333.4863530967174,2,206.7514583321952
2021-05-07,2021-04-23,2021-05-08,178.9244264001649,187.95786654362425,19.68116458399558,2,196.2412213720277
2021-05-23,2021-05-09,2021-05-24,46.80418559230837,177.46562756507126,161.92300856852543,2,117.48824247326132
2021-06-08,2021-05-25,2021-06-09,-1.0,-1.0,386.563457527785,1,-1.0
2021-06-24,2021-06-10,2021-06-25,67.91931474481824,107.4632694781842,211.1653188711888,2,197.2327260381532
2021-07-10,2021-06-26,2021-07-11,74.25756927785022,83.93236414957224,228.1108524567465,2,192.23106147688583
2021-07-26,2021-07-12,2021-07-27,77.622578382088,127.16199986511911,180.8417562959159,2,188.8563888661293
2021-08-27,2021-08-13,2021-08-28,37.27284293375316,20.832805414527584,328.3886997836302,1,198.5359183852628
2021-09-12,2021-08-29,2021-09-13,-1.0,-1.0,386.563457527785,1,-1.0
2021-09-28,2021-09-14,2021-09-29,67.13891967965998,175.19619714325168,144.02671798877788,2,159.13190930200386
2021-10-30,2021-10-16,2021-10-31,48.22604690552331,119.86416992890294,218.10055449601512,2,232.9535846845729
2021-11-15,2021-11-01,2021-11-16,67.1000971240354,121.3672868384774,197.99935708407097,2,232.11438137025505
2021-12-01,2021-11-17,2021-12-02,-1.0,-1.0,386.563457527785,2,-1.0
2021-12-17,2021-12-03,2021-12-18,232.93747812611443,151.2179125051593,2.4028765343893763,2,233.17358111451773
2022-01-02,2021-12-19,2022-01-03,28.7744640894165,264.88272543702254,92.9062680013457,2,117.8961655349121
2022-01-18,2022-01-04,2022-01-19,228.85120855231355,156.205647347167,1.5066016283040642,2,228.90648313580965
2022-02-03,2022-01-20,2022-02-04,203.8458311217568,154.42531671711802,28.28280473596769,2,227.6301722930824
2022-02-19,2022-02-05,2022-02-20,-1.0,-1.0,352.0898032486494,2,-1.0
2022-03-07,2022-02-21,2022-03-08,19.46737383143215,56.82612207382568,310.2621805815116,2,217.04602431873684
2022-03-23,2022-03-09,2022-03-24,-1.0,-1.0,386.563457527785,1,-1.0
2022-04-08,2022-03-25,2022-04-09,81.80244946130898,190.55761488981543,114.2033931766603,2,117.7300379242932
2022-04-24,2022-04-10,2022-04-25,185.8384425422196,159.53147516189645,41.171925840758384,2,197.93234931606133
2022-05-08,2022-04-24,2022-05-09,185.8384425422196,159.53147516189645,41.171925840758384,2,197.93234931606133
2022-05-22,2022-05-08,2022-05-23,26.097558281201167,35.01062401615779,325.4526825965759,1,192.73424704729143
2022-06-05,2022-05-22,2022-06-06,-1.0,-1.0,371.8753891877912,2,-1.0
2022-06-19,2022-06-05,2022-06-20,20.459227554174326,140.954166884306,225.1500630893045,2,149.36607042587843
